Year,Host_City,Host_Country,Country,Gold,Silver,Bronze,M_Total,Men,Women,P_Total,Population,Latitude,Longtitude,Participation_Per_Ten_Million,Discipline,Age,Country,Gender
1972,Heidelberg,Germany,Malta,0,0,0,0,5,3,8,441750,35.937496,14.375416,1207.319374,Swimming,32,RPT,Male
1972,Heidelberg,Germany,Mexico,0,0,0,0,7,0,7,129166028,23.634501,-102.552784,3.61292109,Canoe Sprint,27,RPT,Male
1972,Heidelberg,Germany,Netherlands,14,13,11,38,26,12,38,17141544,52.132633,5.291266,147.7890984,Athletics,29,Oman,Male
1972,Heidelberg,Germany,New Zealand,3,3,3,9,7,3,10,4829021,-40.900557,174.885971,138.0542074,Powerlifting,46,Iraq,Male
1972,Heidelberg,Germany,Norway,1,5,4,10,18,9,27,5428594,60.472024,8.468946,331.5775687,Football 5-a-side,20,Spain,Male
1972,Heidelberg,Germany,Peru,0,0,0,0,1,0,1,33050211,-9.189967,-75.015152,2.017132861,Shooting,45,United Arab Emirates,Male
1972,Heidelberg,Germany,Poland,14,12,7,33,12,10,22,37839255,51.919438,19.145136,38.76045304,Shooting,50,United Arab Emirates,Male
1972,Heidelberg,Germany,Rhodesia,3,5,4,12,6,7,13,7980000,-19.016666,30.016666,108.6048454,Cycling Road,30,Iceland,Female
1972,Heidelberg,Germany,Romania,0,0,0,0,1,0,1,19214608,45.943161,24.96676,3.469582448,Sitting Volleyball,33,Germany,Male
1972,Heidelberg,Germany,South Africa,16,12,13,41,12,13,25,59436725,-30.559482,22.937506,28.04102458,Wheelchair Basketball,29,Germany,Male
1972,Heidelberg,Germany,Spain,0,4,0,4,11,9,20,46757980,40.463667,-3.74922,28.51563163,Rowing,38,Australia,Male
1972,Heidelberg,Germany,Sweden,5,6,6,17,30,8,38,10110233,60.128161,18.643501,250.5712117,Swimming,28,Brazil,Male
1972,Heidelberg,Germany,Switzerland,3,2,4,9,32,4,36,8665615,46.818188,8.227512,276.9566846,Swimming,25,Mexico,Female
1972,Heidelberg,Germany,Uganda,0,0,0,0,2,0,2,45974931,1.373333,32.290275,2.900131233,Powerlifting,39,Spain,Female
1972,Heidelberg,Germany,United States of America,17,27,31,75,49,17,66,331341050,37.09024,-95.712891,13.2793688,Wheelchair Tennis,30,Australia,Male
1972,Heidelberg,Germany,West Germany,28,17,22,67,52,23,75,83830972,51.165691,10.451526,59.6438271,Powerlifting,39,Iraq,Male
1972,Heidelberg,Germany,Yugoslavia,1,1,2,4,15,7,22,23528230,14.48329,121.02138,62.33646418,Table Tennis,16,Iraq,Female
1976,Toronto,Canada,Argentina,3,4,7,14,8,12,20,45267449,-38.416097,-63.616672,29.45457194,Wheelchair Basketball,33,Spain,Male
1976,Toronto,Canada,Australia,16,18,7,41,35,11,46,25550683,-25.274398,133.775136,120.0228842,Cycling Road,34,France,Female
1976,Toronto,Canada,Austria,18,16,17,51,32,10,42,9015361,47.516231,14.550072,310.5810183,Wheelchair Basketball,29,Australia,Female
1976,Toronto,Canada,Bahamas,0,0,0,0,6,0,6,393893,25.03428,-77.39628,1015.504211,Athletics,36,Saudi Arabia,Male
1976,Toronto,Canada,Belgium,7,7,8,22,41,4,45,11598451,50.503887,4.469936,258.655229,Powerlifting,47,Jordan,Female
1976,Toronto,Canada,Brazil,0,1,0,1,21,2,23,212821986,-14.235004,-51.92528,7.204769404,Athletics,35,United Arab Emirates,Male
1976,Toronto,Canada,Burma,1,1,1,3,4,0,4,54473253,21.913965,95.956223,4.895368864,Powerlifting,43,Syrian Arab Republic,Female
1976,Toronto,Canada,Canada,25,26,26,77,66,23,89,37799407,56.130366,-106.346771,156.9689528,Powerlifting,44,Egypt,Female
1976,Toronto,Canada,Colombia,0,0,0,0,8,3,11,50976248,4.570868,-74.297333,14.38578479,Wheelchair Fencing,35,Iraq,Male
1976,Toronto,Canada,Denmark,3,0,3,6,19,2,21,5795780,56.26392,9.501785,241.5550625,Athletics,36,Pakistan,Male
1976,Toronto,Canada,Ecuador,0,0,0,0,3,0,3,17688599,-1.831239,-78.183406,11.30671796,Powerlifting,43,Iraq,Female
1976,Toronto,Canada,Egypt,5,2,1,8,27,0,27,102659126,26.820553,30.802498,17.53375535,Sitting Volleyball,31,Islamic Republic of Iran,Male
1976,Toronto,Canada,Ethiopia,0,0,0,0,1,0,1,115434444,9.145,40.489673,0.577528373,Sitting Volleyball,38,Bosnia and Herzegovina,Male
1976,Toronto,Canada,Fiji,0,0,0,0,9,0,9,897573,-16.578193,179.414413,668.4693056,Judo,25,Uzbekistan,Female
1976,Toronto,Canada,Finland,12,20,18,50,46,4,50,5542237,61.92411,25.748151,601.4418606,Athletics,37,Israel,Male
1976,Toronto,Canada,France,23,21,14,58,42,10,52,65298930,46.227638,2.213749,53.08918028,Table Tennis,25,RPC,Female
1976,Toronto,Canada,Great Britain,29,28,37,94,64,23,87,67948282,55.378051,-3.435973,85.35903822,Archery,35,Singapore,Female
1976,Toronto,Canada,Greece,0,0,0,0,3,0,3,10413936,39.074208,21.824312,19.20503448,Athletics,24,Islamic Republic of Iran,Male
1976,Toronto,Canada,Guatemala,0,0,1,1,11,0,11,17971382,15.783471,-90.230759,40.80561714,Sitting Volleyball,35,Islamic Republic of Iran,Male
1976,Toronto,Canada,"Hong Kong, China",0,1,2,3,11,0,11,7507523,22.396428,114.109497,97.67979843,Athletics,29,Azerbaijan,Male
1976,Toronto,Canada,Hungary,1,0,1,2,2,0,2,9655983,47.162494,19.503304,13.80836455,Athletics,28,United Arab Emirates,Female
1976,Toronto,Canada,Indonesia,2,1,3,6,12,0,12,274021604,-0.789275,113.921327,2.919477838,Athletics,41,Saudi Arabia,Female
1976,Toronto,Canada,Ireland,4,10,6,20,8,11,19,4947267,53.41291,-8.24389,256.0336175,Powerlifting,44,Jordan,Male
1976,Toronto,Canada,Israel,40,13,16,69,50,9,59,8678517,31.046051,34.851612,453.2264364,Goalball,32,Turkey,Male
1976,Toronto,Canada,Italy,2,5,11,18,22,2,24,60446035,41.87194,12.56738,26.4698917,Athletics,30,Netherlands,Female
1976,Toronto,Canada,Japan,10,6,3,19,30,4,34,126407422,36.204824,138.252924,17.93143655,Athletics,28,United Arab Emirates,Female
1976,Toronto,Canada,Republic of Korea,1,2,1,4,7,0,7,51276977,35.907757,127.766922,9.10090052,Cycling Track,22,Australia,Male
1976,Toronto,Canada,Luxembourg,0,0,0,0,2,1,3,627704,49.815273,6.129583,318.6215159,Boccia,20,Canada,Male
1976,Toronto,Canada,Mexico,16,14,9,39,24,8,32,129166028,23.634501,-102.552784,16.5162107,Cycling Road,40,Australia,Male
1976,Toronto,Canada,Netherlands,45,25,14,84,41,17,58,17141544,52.132633,5.291266,225.5728344,Wheelchair Fencing,29,Iraq,Male
1976,Toronto,Canada,New Zealand,7,1,5,13,11,1,12,4829021,-40.900557,174.885971,165.6650489,Powerlifting,30,Iraq,Female
1976,Toronto,Canada,Norway,9,6,4,19,26,15,41,5428594,60.472024,8.468946,503.5066784,Cycling Road,39,United Arab Emirates,Male
1976,Toronto,Canada,Peru,1,0,2,3,1,1,2,33050211,-9.189967,-75.015152,4.034265722,Shooting,44,United Arab Emirates,Female
1976,Toronto,Canada,Poland,24,17,12,53,23,14,37,37839255,51.919438,19.145136,65.18803467,Athletics,29,Brazil,Male
1976,Toronto,Canada,South Africa,6,9,11,26,27,10,37,59436725,-30.559482,22.937506,41.50071638,Shooting,39,United States of America,Female
1976,Toronto,Canada,Spain,4,6,2,12,21,1,22,46757980,40.463667,-3.74922,31.36719479,Swimming,20,Chile,Male
1976,Toronto,Canada,Sweden,21,28,25,74,56,13,69,10110233,60.128161,18.643501,454.9845686,Athletics,26,Kuwait,Male
1976,Toronto,Canada,Switzerland,9,12,10,31,40,9,49,8665615,46.818188,8.227512,376.9688206,Table Tennis,38,Saudi Arabia,Female
1976,Toronto,Canada,Uganda,0,0,0,0,1,0,1,45974931,1.373333,32.290275,1.450065617,Athletics,20,Saudi Arabia,Male
1976,Toronto,Canada,United States of America,66,44,45,155,63,34,97,331341050,37.09024,-95.712891,19.51664808,Shooting,42,United Arab Emirates,Male
1976,Toronto,Canada,West Germany,37,34,26,97,76,17,93,83830972,51.165691,10.451526,73.95834561,Wheelchair Fencing,26,Iraq,Male
1980,Arnhem,Netherlands,Argentina,4,5,6,15,6,5,11,45267449,-38.416097,-63.616672,16.20001457,Athletics,29,Bahrain,Female
1980,Arnhem,Netherlands,Australia,12,21,22,55,40,12,52,25550683,-25.274398,133.775136,135.678043,Swimming,26,Spain,Female
1980,Arnhem,Netherlands,Austria,14,23,8,45,38,10,48,9015361,47.516231,14.550072,354.9497352,Wheelchair Basketball,38,Spain,Female
1980,Arnhem,Netherlands,Bahamas,0,1,2,3,2,4,6,393893,25.03428,-77.39628,1015.504211,Athletics,25,Mauritius,Female
1980,Arnhem,Netherlands,Belgium,13,12,17,42,54,13,67,11598451,50.503887,4.469936,385.1088966,Athletics,23,Saudi Arabia,Male
1980,Arnhem,Netherlands,Brazil,0,0,0,0,2,0,2,212821986,-14.235004,-51.92528,0.626501687,Athletics,32,Yemen,Male
1980,Arnhem,Netherlands,Canada,64,35,31,130,60,34,94,37799407,56.130366,-106.346771,165.7874333,Athletics,27,Iraq,Male
1980,Arnhem,Netherlands,Colombia,1,0,1,2,8,3,11,50976248,4.570868,-74.297333,14.38578479,Archery,37,Iraq,Female
1980,Arnhem,Netherlands,Czechoslovakia,0,1,1,2,5,2,7,10732559,50.073658,14.41854,43.48139774,Athletics,18,Turkey,Female
1980,Arnhem,Netherlands,Denmark,6,4,7,17,32,10,42,5795780,56.26392,9.501785,483.110125,Table Tennis,30,Turkey,Female
1980,Arnhem,Netherlands,Egypt,4,7,3,14,26,7,33,102659126,26.820553,30.802498,21.43014543,Goalball,26,Turkey,Female
1980,Arnhem,Netherlands,Ethiopia,0,0,0,0,1,0,1,115434444,9.145,40.489673,0.577528373,Goalball,25,Turkey,Female
1980,Arnhem,Netherlands,Finland,8,19,13,40,50,10,60,5542237,61.92411,25.748151,721.7302328,Football 5-a-side,32,Brazil,Male
1980,Arnhem,Netherlands,France,28,26,31,85,76,21,97,65298930,46.227638,2.213749,99.03174013,Archery,40,Brazil,Male
1980,Arnhem,Netherlands,Great Britain,47,32,21,100,65,31,96,67948282,55.378051,-3.435973,94.18928355,Wheelchair Basketball,37,Colombia,Male
1980,Arnhem,Netherlands,Greece,0,0,1,1,6,1,7,10413936,39.074208,21.824312,44.81174713,Athletics,25,United Arab Emirates,Female
1980,Arnhem,Netherlands,"Hong Kong, China",0,1,2,3,11,0,11,7507523,22.396428,114.109497,97.67979843,Powerlifting,28,United Arab Emirates,Female
1980,Arnhem,Netherlands,Iceland,1,0,1,2,8,4,12,341628,64.963051,-19.020835,2341.72843,Athletics,42,Ghana,Male
1980,Arnhem,Netherlands,Indonesia,2,0,4,6,15,0,15,274021604,-0.789275,113.921327,3.649347297,Athletics,31,Tunisia,Female
1980,Arnhem,Netherlands,Ireland,4,2,11,17,14,9,23,4947267,53.41291,-8.24389,309.9354317,Judo,23,Kazakhstan,Male
1980,Arnhem,Netherlands,Israel,13,18,15,46,40,7,47,8678517,31.046051,34.851612,361.0447883,Table Tennis,29,Brazil,Female
1980,Arnhem,Netherlands,Italy,6,5,9,20,29,9,38,60446035,41.87194,12.56738,41.91066185,Athletics,29,Algeria,Male
1980,Arnhem,Netherlands,Jamaica,7,7,5,19,6,7,13,2963429,18.109581,-77.297508,292.4540006,Sitting Volleyball,35,Egypt,Male
1980,Arnhem,Netherlands,Japan,9,10,7,26,24,6,30,126407422,36.204824,138.252924,15.82185578,Athletics,32,Morocco,Male
1980,Arnhem,Netherlands,Kenya,1,2,0,3,13,4,17,53968739,-0.023559,37.906193,20.99981127,Wheelchair Basketball,32,Japan,Female
1980,Arnhem,Netherlands,Republic of Korea,2,2,1,5,12,0,12,51276977,35.907757,127.766922,15.60154375,Athletics,38,Islamic Republic of Iran,Male
1980,Arnhem,Netherlands,Kuwait,2,2,1,5,7,2,9,4281320,29.31166,47.481766,140.143694,Goalball,29,Belgium,Male
1980,Arnhem,Netherlands,Luxembourg,0,0,1,1,8,1,9,627704,49.815273,6.129583,955.8645476,Swimming,20,Italy,Male
1980,Arnhem,Netherlands,Malta,0,0,1,1,5,3,8,441750,35.937496,14.375416,1207.319374,Swimming,27,Brazil,Male
1980,Arnhem,Netherlands,Mexico,20,16,6,42,19,8,27,129166028,23.634501,-102.552784,13.93555278,Goalball,23,Brazil,Female
1980,Arnhem,Netherlands,Netherlands,33,31,36,100,78,30,108,17141544,52.132633,5.291266,420.0321745,Athletics,40,Morocco,Female
1980,Arnhem,Netherlands,New Zealand,7,6,6,19,12,5,17,4829021,-40.900557,174.885971,234.6921526,Triathlon,48,France,Male
1980,Arnhem,Netherlands,Norway,15,13,8,36,36,17,53,5428594,60.472024,8.468946,650.8744867,Athletics,20,Australia,Male
1980,Arnhem,Netherlands,Poland,75,50,52,177,50,30,80,37839255,51.919438,19.145136,140.947102,Wheelchair Basketball,41,Canada,Male
1980,Arnhem,Netherlands,Spain,1,13,9,23,17,7,24,46757980,40.463667,-3.74922,34.21875795,Archery,47,South Africa,Male
1980,Arnhem,Netherlands,Sudan,1,0,0,1,8,3,11,44019263,12.862807,30.217636,16.65937327,Table Tennis,27,Sweden,Male
1980,Arnhem,Netherlands,Sweden,31,36,24,91,75,19,94,10110233,60.128161,18.643501,619.83405,Boccia,40,Portugal,Male
1980,Arnhem,Netherlands,Switzerland,9,10,10,29,51,14,65,8665615,46.818188,8.227512,500.0606804,Table Tennis,42,Brazil,Male
1980,Arnhem,Netherlands,United States of America,75,66,54,195,85,47,132,331341050,37.09024,-95.712891,26.55873759,Swimming,25,Mexico,Male
1980,Arnhem,Netherlands,West Germany,68,48,46,162,104,24,128,83830972,51.165691,10.451526,101.7921316,Athletics,24,Great Britain,Female
1980,Arnhem,Netherlands,Yugoslavia,4,5,9,18,25,6,31,23528230,14.48329,121.02138,87.83774498,Canoe Sprint,42,RPC,Female
1980,Arnhem,Netherlands,Zimbabwe,0,8,4,12,2,3,5,14899771,-19.015438,29.154857,22.37170849,Boccia,24,Slovakia,Male
1984,"Stoke Mandeville, New York","Great Britain, United States of America",Argentina,0,0,0,0,6,0,6,45267449,-38.416097,-63.616672,8.836371583,Athletics,34,Spain,Female
1984,"Stoke Mandeville, New York","Great Britain, United States of America",Australia,49,54,51,154,80,28,108,25550683,-25.274398,133.775136,281.7928585,Archery,42,RPC,Female
1984,"Stoke Mandeville, New York","Great Britain, United States of America",Austria,14,20,10,44,37,8,45,9015361,47.516231,14.550072,332.7653768,Athletics,21,Mauritius,Female
1984,"Stoke Mandeville, New York","Great Britain, United States of America",Bahamas,0,1,1,2,0,2,2,393893,25.03428,-77.39628,338.5014035,Athletics,29,Pakistan,Female
1984,"Stoke Mandeville, New York","Great Britain, United States of America",Bahrain,0,0,2,2,10,2,12,1711057,25.930414,50.637772,467.547253,Athletics,30,Sao Tome and Principe,Male
